scenario,scenario_slug,source_team,target_team,model_code,alpha,residual_window_observations,n,MAE,RMSE,bias,R2,linear_calibration_intercept,linear_calibration_slope,within_1_point
Within Team A: 2020→2021,Within_TeamA_2020_to_2021,TeamA,TeamA,P0,1000.0,28,5881,0.7172192552423742,1.0308406509132124,0.011952381929957939,0.5677417750795164,0.47163912383317935,0.9276101379442507,0.7592246216629824
Within Team A: 2020→2021,Within_TeamA_2020_to_2021,TeamA,TeamA,P1,1000.0,28,5881,0.7244023972787837,1.030517211473073,0.03249327952736067,0.5680129856194828,0.5037548768120983,0.9199739147671794,0.7595646998809726
Within Team A: 2020→2021,Within_TeamA_2020_to_2021,TeamA,TeamA,P2,1000.0,28,5881,0.728300069217527,1.0398483193860402,0.037533028903322906,0.5601544715821674,0.5379170649699113,0.9141882189339943,0.7563339568100663
Within Team B: 2020→2021,Within_TeamB_2020_to_2021,TeamB,TeamB,P0,1000.0,28,2483,0.6190793151107362,0.965400258795468,0.028058110731998067,0.48593459767376734,0.6244299477056994,0.9076411762887115,0.8111155859846959
Within Team B: 2020→2021,Within_TeamB_2020_to_2021,TeamB,TeamB,P1,1000.0,28,2483,0.6372475164567712,0.9558768413882861,0.030773283664170578,0.49602681003032845,0.5448464352887107,0.918553090735781,0.8086991542488925
Within Team B: 2020→2021,Within_TeamB_2020_to_2021,TeamB,TeamB,P2,1000.0,28,2483,0.6361935690203049,0.9555299937944507,0.03108947779111669,0.4963924851185746,0.5457182860952556,0.9183886404144406,0.8086991542488925
Cross-team: Team A 2020→Team B 2021,Cross_TeamA2020_to_TeamB2021,TeamA,TeamB,P0,1000.0,28,2483,0.6177152574822902,0.9617968052439491,0.028535185745907368,0.4897650371792083,0.501708084095534,0.9249498329001858,0.8131292790978655
Cross-team: Team A 2020→Team B 2021,Cross_TeamA2020_to_TeamB2021,TeamA,TeamB,P1,1000.0,28,2483,0.6399416837590894,0.9688302273761543,0.05820835923979885,0.4822752647759848,0.5246822576045388,0.9178432250721045,0.8111155859846959
Cross-team: Team A 2020→Team B 2021,Cross_TeamA2020_to_TeamB2021,TeamA,TeamB,P2,1000.0,28,2483,0.6409565619053862,0.9691803457920685,0.057637391466717834,0.48190100370927136,0.5123931303435397,0.9196493525764817,0.8054772452678212
Cross-team: Team B 2020→Team A 2021,Cross_TeamB2020_to_TeamA2021,TeamB,TeamA,P0,1000.0,28,5881,0.7178975147931731,1.0342231448704908,0.011598907376058249,0.5649003860788825,0.5510727410780457,0.9157680028391664,0.7570141132460466
Cross-team: Team B 2020→Team A 2021,Cross_TeamB2020_to_TeamA2021,TeamB,TeamA,P1,1000.0,28,5881,0.7217006131615256,1.0311987826070885,0.016922189217326685,0.5674413750881819,0.5309126058280794,0.9180543832654422,0.760414895425948
Cross-team: Team B 2020→Team A 2021,Cross_TeamB2020_to_TeamA2021,TeamB,TeamA,P2,1000.0,28,5881,0.7202284625161223,1.032111490981321,0.015878658221887797,0.5666753257026182,0.5430397977102654,0.9163834274922609,0.7607549736439381
