cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamA,P0,1,0.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672635234982939,1.2479761062270407
Primary complete-case cohort,TeamA,P0,1,0.0001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672635186176523,1.247976095392473
Primary complete-case cohort,TeamA,P0,1,0.001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672634746919009,1.2479759978814395
Primary complete-case cohort,TeamA,P0,1,0.01,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672630354365366,1.2479750227784705
Primary complete-case cohort,TeamA,P0,1,0.1,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672586430981633,1.2479652724853656
Primary complete-case cohort,TeamA,P0,1,1.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8672147412305864,1.2478678431658603
Primary complete-case cohort,TeamA,P0,1,10.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8667778635818546,1.246900864444181
Primary complete-case cohort,TeamA,P0,1,100.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8631366149127545,1.2379184124236584
Primary complete-case cohort,TeamA,P0,1,1000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8477723583576604,1.1892192032546414
Primary complete-case cohort,TeamA,P0,1,10000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8538856220954939,1.1579438351587081
Primary complete-case cohort,TeamA,P0,1,100000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.864250002792788,1.1628291153798773
Primary complete-case cohort,TeamA,P0,2,0.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7892278313164055,1.117409300262318
Primary complete-case cohort,TeamA,P0,2,0.0001,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7892278285285398,1.1174092941948548
