alpha,weighted_MAE,weighted_RMSE,validation_rows_total,residual_window_observations,cohort,source_team,model_code,tuning_pipeline,selected
1000.0,0.7970688848045496,1.1124277710307968,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,True
10000.0,0.7989089538440428,1.0986995478945896,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
100000.0,0.8101892483533197,1.1123643085246246,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
100.0,0.810322362340445,1.1458499594941334,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
10.0,0.8128895526893165,1.1518758896719223,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
1.0,0.8131858781524881,1.1525216343109623,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.1,0.8132156381750019,1.1525866655118597,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.01,0.8132186154577169,1.1525931732258912,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.001,0.8132189131987989,1.1525938240432603,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.0001,0.8132189429730351,1.152593889125457,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.0,0.8132189462812851,1.1525938963568174,1792,28,Primary complete-case cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
1000.0,0.7864716096281058,1.100090495534149,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,True
10000.0,0.7912511257621305,1.0908569042086915,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
100000.0,0.8080636690549062,1.1092771643621062,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
100.0,0.8104292038102503,1.1270507639860272,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
10.0,0.8177445767231782,1.1340060880400402,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
1.0,0.8186148580524283,1.1348087800231164,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
0.1,0.8187033573503492,1.1348902870710764,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
0.01,0.8187122163528168,1.1348984503486361,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
0.001,0.818713102343912,1.134899266802317,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
0.0001,0.8187131909439301,1.1348993484489445,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
0.0,0.8187132007883869,1.1348993575208064,1792,28,Primary complete-case cohort,TeamA,P1,population prediction plus reset sequential residual adaptation,False
