Team,Year,Variable,Rows,Missing n,Missing %
All,All,readiness,36550,19553,53.496580027359784
All,All,fatigue,36550,19558,53.510259917920656
All,All,mood,36550,19551,53.49110807113543
All,All,sleep_duration,36550,19569,53.54035567715458
All,All,sleep_quality,36550,19556,53.50478796169631
All,All,soreness,36550,19551,53.49110807113543
All,All,stress,36550,19553,53.496580027359784
All,All,readiness_t1,36550,19553,53.496580027359784
All,2020,readiness,18300,11223,61.32786885245901
All,2020,fatigue,18300,11222,61.3224043715847
All,2020,mood,18300,11220,61.31147540983607
All,2020,sleep_duration,18300,11219,61.306010928961754
All,2020,sleep_quality,18300,11223,61.32786885245901
All,2020,soreness,18300,11218,61.30054644808743
All,2020,stress,18300,11221,61.31693989071039
All,2020,readiness_t1,18300,11215,61.28415300546448
All,2021,readiness,18250,8330,45.64383561643835
All,2021,fatigue,18250,8336,45.676712328767124
All,2021,mood,18250,8331,45.64931506849315
All,2021,sleep_duration,18250,8350,45.75342465753425
All,2021,sleep_quality,18250,8333,45.66027397260274
All,2021,soreness,18250,8333,45.66027397260274
All,2021,stress,18250,8332,45.654794520547945
All,2021,readiness_t1,18250,8338,45.68767123287672
TeamA,All,readiness,19737,8715,44.15564675482596
TeamA,All,fatigue,19737,8717,44.165780007093275
TeamA,All,mood,19737,8711,44.13538025029133
TeamA,All,sleep_duration,19737,8729,44.226579520697165
TeamA,All,sleep_quality,19737,8719,44.17591325936059
TeamA,All,soreness,19737,8714,44.150580128692305
TeamA,All,stress,19737,8714,44.150580128692305
TeamA,All,readiness_t1,19737,8715,44.15564675482596
TeamA,2020,readiness,9882,5554,56.203197733252374
TeamA,2020,fatigue,9882,5555,56.213317142278896
TeamA,2020,mood,9882,5551,56.17283950617284
TeamA,2020,sleep_duration,9882,5553,56.193078324225866
TeamA,2020,sleep_quality,9882,5555,56.213317142278896
TeamA,2020,soreness,9882,5552,56.18295891519936
TeamA,2020,stress,9882,5553,56.193078324225866
TeamA,2020,readiness_t1,9882,5547,56.13236187006678
TeamA,2021,readiness,9855,3161,32.075088787417556
TeamA,2021,fatigue,9855,3162,32.08523592085236
TeamA,2021,mood,9855,3160,32.06494165398275
TeamA,2021,sleep_duration,9855,3176,32.22729578893963
TeamA,2021,sleep_quality,9855,3164,32.10553018772197
TeamA,2021,soreness,9855,3162,32.08523592085236
TeamA,2021,stress,9855,3161,32.075088787417556
TeamA,2021,readiness_t1,9855,3168,32.146118721461185
TeamB,All,readiness,16813,10838,64.4620234342473
TeamB,All,fatigue,16813,10841,64.4798667697615
TeamB,All,mood,16813,10840,64.47391899125677
TeamB,All,sleep_duration,16813,10840,64.47391899125677
TeamB,All,sleep_quality,16813,10837,64.45607565574258
TeamB,All,soreness,16813,10837,64.45607565574258
TeamB,All,stress,16813,10839,64.46797121275203
TeamB,All,readiness_t1,16813,10838,64.4620234342473
TeamB,2020,readiness,8418,5669,67.34378712283203
TeamB,2020,fatigue,8418,5667,67.32002851033499
TeamB,2020,mood,8418,5669,67.34378712283203
TeamB,2020,sleep_duration,8418,5666,67.30814920408648
TeamB,2020,sleep_quality,8418,5668,67.33190781658351
TeamB,2020,soreness,8418,5666,67.30814920408648
TeamB,2020,stress,8418,5668,67.33190781658351
TeamB,2020,readiness_t1,8418,5668,67.33190781658351
TeamB,2021,readiness,8395,5169,61.572364502680166
TeamB,2021,fatigue,8395,5174,61.63192376414533
TeamB,2021,mood,8395,5171,61.59618820726623
TeamB,2021,sleep_duration,8395,5174,61.63192376414533
TeamB,2021,sleep_quality,8395,5169,61.572364502680166
TeamB,2021,soreness,8395,5171,61.59618820726623
TeamB,2021,stress,8395,5171,61.59618820726623
TeamB,2021,readiness_t1,8395,5170,61.5842763549732
