cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Missingness-aware cohort,TeamA,P0,1,0.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680906994548327,1.246059309091945
Missingness-aware cohort,TeamA,P0,1,0.0001,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680906945436585,1.2460592983076566
Missingness-aware cohort,TeamA,P0,1,0.001,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680906503431123,1.2460592012491352
Missingness-aware cohort,TeamA,P0,1,0.01,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680902083398124,1.246058230671219
Missingness-aware cohort,TeamA,P0,1,0.1,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680857885231078,1.2460485256218488
Missingness-aware cohort,TeamA,P0,1,1.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8680416119747318,1.2459515480609684
Missingness-aware cohort,TeamA,P0,1,10.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8676019977345948,1.2449890196080253
Missingness-aware cohort,TeamA,P0,1,100.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8640402429137292,1.236044858270476
Missingness-aware cohort,TeamA,P0,1,1000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8487075426567143,1.1874102412730108
Missingness-aware cohort,TeamA,P0,1,10000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8542765469200976,1.1555083185753585
Missingness-aware cohort,TeamA,P0,1,100000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8642846454128265,1.1600691069586548
Missingness-aware cohort,TeamA,P0,2,0.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7888542620162087,1.1166159481464464
Missingness-aware cohort,TeamA,P0,2,0.0001,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7888542592494323,1.1166159421617519
Missingness-aware cohort,TeamA,P0,2,0.001,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7888542343484554,1.1166158882995336
Missingness-aware cohort,TeamA,P0,2,0.01,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.788853985339582,1.1166153496806115
Missingness-aware cohort,TeamA,P0,2,0.1,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.788851495340521,1.1166099638173708
Missingness-aware cohort,TeamA,P0,2,1.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7888266043139098,1.116556137766977
Missingness-aware cohort,TeamA,P0,2,10.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7885785872017049,1.116021119603792
Missingness-aware cohort,TeamA,P0,2,100.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7861845996321597,1.110979978858513
Missingness-aware cohort,TeamA,P0,2,1000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7708878373141168,1.0809934341216252
Missingness-aware cohort,TeamA,P0,2,10000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7673688399820561,1.0626137728806264
Missingness-aware cohort,TeamA,P0,2,100000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7760010286154774,1.073197379989481
Missingness-aware cohort,TeamA,P0,3,0.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590193484970997,1.046861787626919
Missingness-aware cohort,TeamA,P0,3,0.0001,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590193470187722,1.046861784657939
Missingness-aware cohort,TeamA,P0,3,0.001,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590193337138276,1.046861757937139
Missingness-aware cohort,TeamA,P0,3,0.01,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590192006647717,1.046861490731025
Missingness-aware cohort,TeamA,P0,3,0.1,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590178702132503,1.0468588188585186
Missingness-aware cohort,TeamA,P0,3,1.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7590045696006972,1.046832118988457
Missingness-aware cohort,TeamA,P0,3,10.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7588719525888296,1.046566997286758
Missingness-aware cohort,TeamA,P0,3,100.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7578871141678978,1.0440952924258167
Missingness-aware cohort,TeamA,P0,3,1000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7512584239114881,1.0314589831764354
Missingness-aware cohort,TeamA,P0,3,10000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7540944708259917,1.053366019148135
Missingness-aware cohort,TeamA,P0,3,100000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7705490968313174,1.0855334265856984
Missingness-aware cohort,TeamA,P1m,1,0.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,5858821990831.919,40178704126878.55
Missingness-aware cohort,TeamA,P1m,1,0.0001,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609087477355327,1.2033228039388726
